Code,Company,Link,"Market Cap","Last trade",Change,%Change,Sector
ASX:KTA,"Krakatoa Resources (ASX:KTA)",https://www.listcorp.com/asx/kta/krakatoa-resources,"	15900200",0.057,0.00,0,Materials
ASX:CR9,"Corella Resources Ltd (ASX:CR9)",https://www.listcorp.com/asx/cr9/corella-resources-ltd,"	15800000",0.046,-0.00,-8,Materials
ASX:LEL,"Lithium Energy Limited (ASX:LEL)",https://www.listcorp.com/asx/lel/lithium-energy-limited,"	15750000",0.345,-0.01,-1.43,Unclassified
ASX:IQ3,"iQ3Corp Limited (ASX:IQ3)",https://www.listcorp.com/asx/iq3/iq3corp-limited,"	15651200",0.15,0.00,0,Financials
ASX:LNY,"Laneway Resources (ASX:LNY)",https://www.listcorp.com/asx/lny/laneway-resources,"	15616300",0.005,0.00,25,Materials
ASX:WSI,"Weststar Industrial Limited (ASX:WSI)",https://www.listcorp.com/asx/wsi/weststar-industrial-limited,"	15607600",0.018,0.00,12.5,Materials
ASX:SHE,"Stonehorse Energy Limited (ASX:SHE)",https://www.listcorp.com/asx/she/stonehorse-energy-limited,"	15597400",0.025,0.00,4.17,Materials
ASX:QSML,"Vaneck Vectors MSCI Inter Small Companies Qual ETF (ASX:QSML)",https://www.listcorp.com/asx/qsml/vaneck-vectors-msci-inter-small-companies-qual-etf,"	15540000",22.44,0.24,1.08,Financials
ASX:EMU,"Emu NL (ASX:EMU)",https://www.listcorp.com/asx/emu/emu-nl,"	15521500",0.035,0.00,2.94,Materials
ASX:KCC,"Kincora Copper Limited (ASX:KCC)",https://www.listcorp.com/asx/kcc/kincora-copper-limited,"	15519600",0.22,0.00,0,Materials
ASX:CXU,"Cauldron Energy (ASX:CXU)",https://www.listcorp.com/asx/cxu/cauldron-energy,"	15504000",0.034,0.00,0,Energy
ASX:CM8,"Crowd Media Holdings Limited (ASX:CM8)",https://www.listcorp.com/asx/cm8/crowd-media,"	15500800",0.025,0.00,0,"Communication Services"
ASX:TEG,"Triangle Energy (ASX:TEG)",https://www.listcorp.com/asx/teg/triangle-energy,"	15431100",0.022,0.00,0,Energy
ASX:ECG,"Ecargo Holdings Limited (ASX:ECG)",https://www.listcorp.com/asx/ecg/ecargo-holdings-limited,"	15381200",0.025,0.00,0,Industrials
ASX:SAU,"Southern Gold (ASX:SAU)",https://www.listcorp.com/asx/sau/southern-gold,"	15359700",0.071,-0.00,-1.39,Materials
ASX:BMG,"BMG Resources (ASX:BMG)",https://www.listcorp.com/asx/bmg/bmg-resources,"	15359500",0.058,-0.01,-9.38,Materials
ASX:SRN,"Surefire Resources NL (ASX:SRN)",https://www.listcorp.com/asx/srn/surefire-resources-nl,"	15311900",0.014,0.00,0,Materials
ASX:WBE,"Whitebark Energy Ltd (ASX:WBE)",https://www.listcorp.com/asx/wbe/whitebark-energy-ltd,"	15305900",0.0035,0.00,0,Energy
ASX:GLV,"Global Vanadium Limited (ASX:GLV)",https://www.listcorp.com/asx/glv/global-vanadium-limited,"	15273200",0.02,0.00,0,Energy
ASX:2BE,"Tubi Limited (ASX:2BE)",https://www.listcorp.com/asx/2be/tubi-limited,"	15254000",0.049,0.00,0,Energy
ASX:PG1,"Pearl Global Limited (ASX:PG1)",https://www.listcorp.com/asx/pg1/pearl-global-limited,"	15252000",0.042,0.00,2.44,Industrials
ASX:NME,"Nex Metals Explorations (ASX:NME)",https://www.listcorp.com/asx/nme/nex-metals-explorations,"	15220300",0.055,-0.00,-3.51,Materials
ASX:PF1,"Pathfinder Resources Ltd (ASX:PF1)",https://www.listcorp.com/asx/pf1/pathfinder-resources-ltd,"	15165900",0.325,0.02,6.56,Materials
ASX:ARO,"Astro Resources NL (ASX:ARO)",https://www.listcorp.com/asx/aro/astro-resources,"	15056800",0.004,0.00,0,Materials
ASX:LIN,"Lindian Resources (ASX:LIN)",https://www.listcorp.com/asx/lin/lindian-resources,"	14958700",0.02,0.00,0,Materials
ASX:GUL,"Gullewa Limited (ASX:GUL)",https://www.listcorp.com/asx/gul/gullewa,"	14954600",0.082,0.00,0,Materials
ASX:AFR,"African Energy Resources (ASX:AFR)",https://www.listcorp.com/asx/afr/african-energy,"	14951100",0.024,0.00,0,Energy
ASX:EVZ,"EVZ Limited (ASX:EVZ)",https://www.listcorp.com/asx/evz/evz-limited,"	14898100",0.15,-0.01,-3.23,Industrials
ASX:DOR,"Doriemus PLC (ASX:DOR)",https://www.listcorp.com/asx/dor/doriemus-plc,"	14858200",0.22,0.02,7.32,Energy
ASX:MCE,"Matrix Composites & Engineering (ASX:MCE)",https://www.listcorp.com/asx/mce/matrix-composites,"	14836600",0.14,-0.01,-3.45,Energy
ASX:GO2,"The GO2 People Limited (ASX:GO2)",https://www.listcorp.com/asx/go2/the-go2-people-limited,"	14835200",0.04,0.00,0,Industrials
ASX:NSM,"North Stawell Minerals Ltd (ASX:NSM)",https://www.listcorp.com/asx/nsm/north-stawell-minerals-ltd,"	14800000",0.32,-0.05,-13.51,Materials
ASX:SRJ,"SRJ Technologies Group plc (ASX:SRJ)",https://www.listcorp.com/asx/srj/srj-technologies-group-plc,"	14799800",0.185,-0.02,-7.5,Energy
ASX:GRL,"Godolphin Resources Limited (ASX:GRL)",https://www.listcorp.com/asx/grl/godolphin-resources-limited,"	14719300",0.19,0.01,8.57,Materials
